_id,CW_HSCODE,url_for_verify,foreign_id,mark,COUNTRY,UNIT1,UNIT2,QUANTITY1_CURRENT_MONTH,QUANTITY2_CURRENT_MONTH,VALUE_CURRENT_MONTH,QUANTITY1_CUMULATIVE_YEAR_TO_DATE,QUANTITY2_CUMULATIVE_YEAR_TO_DATE,VALUE_CUMULATIVE_YEAR_TO_DATE,idx_start,idx_end,page_start,page_end,idx_total
670d21ea631a82b8a8a308c7,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,112 SNGAPOR, ,KG, ,19,388, ,19,388,1,51,1,1,51
670d21ea631a82b8a8a308c8,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,134 IRAQ, ,KG, ,40,589, ,40,589,1,51,1,1,51
670d21ea631a82b8a8a308c9,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,135 BAHRAIN, ,KG, ,60,1086, ,60,1086,1,51,1,1,51
670d21ea631a82b8a8a308ca,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,137 SU ARAB, ,KG, ,22,695, ,22,695,1,51,1,1,51
670d21ea631a82b8a8a308cb,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,144 JORDAN, ,KG, ,220,1315, ,220,1315,1,51,1,1,51
670d21ea631a82b8a8a308cc,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,147 U ARB E, ,KG, ,440,6108, ,440,6108,1,51,1,1,51
670d21ea631a82b8a8a308cd,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,205 U KING, ,KG, ,788,8587, ,788,8587,1,51,1,1,51
670d21ea631a82b8a8a308ce,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,213 GERMANY, ,KG, ,287,3026, ,287,3026,1,51,1,1,51
670d21ea631a82b8a8a308cf,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,223 POLAND, ,KG, ,1350,8477, ,1350,8477,1,51,1,1,51
670d21ea631a82b8a8a308d0,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,304 USA, ,KG, ,2797,17421, ,2797,17421,1,51,1,1,51
670d21ea631a82b8a8a308d1,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,409 CHILE, ,KG, ,62,351, ,62,351,1,51,1,1,51
670d21ea631a82b8a8a308d2,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,601 AUSTRAL, ,KG, ,440,1858, ,440,1858,1,51,1,1,51
670d21ea631a82b8a8a308d3,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(0902.10-900  )TOTAL, ,KG, ,940,7409, ,940,7409,1,51,1,1,51
670d21ea631a82b8a8a308d4,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,106 TAIWAN, ,KG, ,99,519, ,99,519,1,51,1,1,51
